## Training on MOBIS

| Model | Experiment | Dataset size | Learning rate | Batch size | Dropout | Weight decay | Epochs (max) | Early stopping | Frozen layers | Test accuracy |
| LSTM-Attention | final_30pct_189trips_lr5e-4_h128 | Train: 182<br>Val: 125<br>Test: 322 | 5e-4 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 88.97% |
| LSTM-Attention | final_40pct_251trips_lr5e-4_h128 | Train: 241<br>Val: 126<br>Test: 262 | 5e-4 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 87.45% |
| LSTM-Attention | final_50pct_313trips_lr5e-4_h128 | Train: 300<br>Val: 126<br>Test: 203 | 5e-4 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 87.57% |
| LSTM-Attention | tune_lr1e-3_h128 | Train: 93<br>Val: 126<br>Test: 410 | 1e-3 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 86.19% |
| LSTM-Attention | tune_lr1e-3_h256 | Train: 93<br>Val: 126<br>Test: 410 | 1e-3 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 86.19% |
| LSTM-Attention | tune_lr1e-3_h64 | Train: 93<br>Val: 126<br>Test: 410 | 1e-3 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 86.19% |
| LSTM-Attention | tune_lr1e-4_h128 | Train: 93<br>Val: 126<br>Test: 410 | 1e-4 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 85.18% |
| LSTM-Attention | tune_lr1e-4_h256 | Train: 93<br>Val: 126<br>Test: 410 | 1e-4 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 85.18% |
| LSTM-Attention | tune_lr1e-4_h64 | Train: 93<br>Val: 126<br>Test: 410 | 1e-4 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 85.18% |
| LSTM-Attention | tune_lr5e-4_h128 | Train: 93<br>Val: 126<br>Test: 410 | 5e-4 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 86.62% |
| LSTM-Attention | tune_lr5e-4_h256 | Train: 93<br>Val: 126<br>Test: 410 | 5e-4 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 86.62% |
| LSTM-Attention | tune_lr5e-4_h64 | Train: 93<br>Val: 126<br>Test: 410 | 5e-4 | 128 | 0.3 | 1e-4 | 50 | Patience 10 | None | 86.62% |
| SpeedTransformer | final_15pct_94trips_lr5e-4_warmup0_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 89.12% |
| SpeedTransformer | final_20pct_125trips_lr5e-4_warmup0_none | Train: 124<br>Val: 126<br>Test: 379<br>Windows: Train 397, Val 249, Test 1,093 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 82.53% |
| SpeedTransformer | final_30pct_189trips_lr5e-4_warmup0_none | Train: 189<br>Val: 125<br>Test: 315<br>Windows: Train 587, Val 248, Test 904 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 91.15% |
| SpeedTransformer | final_40pct_251trips_lr5e-4_warmup0_none | Train: 250<br>Val: 126<br>Test: 253<br>Windows: Train 711, Val 235, Test 793 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 88.78% |
| SpeedTransformer | final_50pct_313trips_lr5e-4_warmup0_none | Train: 313<br>Val: 126<br>Test: 190<br>Windows: Train 836, Val 349, Test 554 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 94.22% |
| SpeedTransformer | tune_lr1e-4_warmup0_freeze_attention | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Attention frozen | 71.85% |
| SpeedTransformer | tune_lr1e-4_warmup0_freeze_embeddings | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Embeddings frozen | 72.37% |
| SpeedTransformer | tune_lr1e-4_warmup0_freeze_feedforward | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Feedforward frozen | 70.21% |
| SpeedTransformer | tune_lr1e-4_warmup0_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 71.76% |
| SpeedTransformer | tune_lr1e-4_warmup100_freeze_attention | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Attention frozen | 69.34% |
| SpeedTransformer | tune_lr1e-4_warmup100_freeze_embeddings | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Embeddings frozen | 71.16% |
| SpeedTransformer | tune_lr1e-4_warmup100_freeze_feedforward | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Feedforward frozen | 70.38% |
| SpeedTransformer | tune_lr1e-4_warmup100_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 71.76% |
| SpeedTransformer | tune_lr1e-4_warmup50_freeze_attention | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Attention frozen | 72.02% |
| SpeedTransformer | tune_lr1e-4_warmup50_freeze_embeddings | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Embeddings frozen | 72.97% |
| SpeedTransformer | tune_lr1e-4_warmup50_freeze_feedforward | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Feedforward frozen | 70.03% |
| SpeedTransformer | tune_lr1e-4_warmup50_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 1e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 71.33% |
| SpeedTransformer | tune_lr2e-4_warmup0_freeze_attention | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Attention frozen | 71.59% |
| SpeedTransformer | tune_lr2e-4_warmup0_freeze_embeddings | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Embeddings frozen | 80.66% |
| SpeedTransformer | tune_lr2e-4_warmup0_freeze_feedforward | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Feedforward frozen | 70.29% |
| SpeedTransformer | tune_lr2e-4_warmup0_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 79.97% |
| SpeedTransformer | tune_lr2e-4_warmup100_freeze_attention | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Attention frozen | 72.02% |
| SpeedTransformer | tune_lr2e-4_warmup100_freeze_embeddings | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Embeddings frozen | 72.97% |
| SpeedTransformer | tune_lr2e-4_warmup100_freeze_feedforward | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Feedforward frozen | 70.03% |
| SpeedTransformer | tune_lr2e-4_warmup100_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 71.33% |
| SpeedTransformer | tune_lr2e-4_warmup50_freeze_attention | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Attention frozen | 71.68% |
| SpeedTransformer | tune_lr2e-4_warmup50_freeze_embeddings | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Embeddings frozen | 80.57% |
| SpeedTransformer | tune_lr2e-4_warmup50_freeze_feedforward | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Feedforward frozen | 70.12% |
| SpeedTransformer | tune_lr2e-4_warmup50_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 2e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 71.59% |
| SpeedTransformer | tune_lr5e-4_warmup0_freeze_attention | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Attention frozen | 82.64% |
| SpeedTransformer | tune_lr5e-4_warmup0_freeze_embeddings | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Embeddings frozen | 87.82% |
| SpeedTransformer | tune_lr5e-4_warmup0_freeze_feedforward | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Feedforward frozen | 78.93% |
| SpeedTransformer | tune_lr5e-4_warmup0_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 89.12% |
| SpeedTransformer | tune_lr5e-4_warmup100_freeze_attention | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Attention frozen | 71.50% |
| SpeedTransformer | tune_lr5e-4_warmup100_freeze_embeddings | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Embeddings frozen | 77.20% |
| SpeedTransformer | tune_lr5e-4_warmup100_freeze_feedforward | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Feedforward frozen | 70.12% |
| SpeedTransformer | tune_lr5e-4_warmup100_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 71.33% |
| SpeedTransformer | tune_lr5e-4_warmup50_freeze_attention | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Attention frozen | 71.33% |
| SpeedTransformer | tune_lr5e-4_warmup50_freeze_embeddings | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Embeddings frozen | 77.98% |
| SpeedTransformer | tune_lr5e-4_warmup50_freeze_feedforward | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | Feedforward frozen | 70.29% |
| SpeedTransformer | tune_lr5e-4_warmup50_none | Train: 93<br>Val: 126<br>Test: 410<br>Windows: Train 289, Val 292, Test 1,158 | 5e-4 | 512 | 0.2 | 1e-4 | 50 | Patience 10 | None | 79.02% |

